player_id,In Player Stats File,team_id,season,league,player,age,team,position,games,games_started,minutes_played,per,ts_percent,three_attempt_rt,free_throw_rt,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,offensive_ws,defensive_ws,ws,ws_per48,offensive_bpm,defensive_bpm,bpm,vorp
achiupr01SAC2026,Precious Achiuwa,SAC2026,2026,NBA,Precious Achiuwa,26,SAC,C,67,51,1568,16.2,0.565,0.162,0.218,0.106,0.209,0.156,0.08,0.019,0.027,0.087,0.169,1.7,1.1,2.8,0.085,-0.5,-0.9,-1.4,0.2
adamsst01HOU2026,Steven Adams,HOU2026,2026,NBA,Steven Adams,32,HOU,C,32,11,730,15.9,0.535,0,0.583,0.223,0.196,0.209,0.084,0.015,0.025,0.167,0.121,1.1,1,2.1,0.14,-0.2,-0.4,-0.5,0.3
adebaba01MIA2026,Bam Adebayo,MIA2026,2026,NBA,Bam Adebayo,28,MIA,C,67,67,2161,18.5,0.547,0.345,0.372,0.065,0.257,0.16,0.135,0.017,0.019,0.083,0.253,2.3,3.4,5.7,0.126,1.3,0.5,1.7,2.1
agbajoc012TM2026,Ochai Agbaji,2TM2026,2026,NBA,Ochai Agbaji,25,2TM,SG,61,13,955,8.6,0.524,0.461,0.16,0.052,0.113,0.082,0.066,0.012,0.017,0.097,0.144,0.1,0.8,0.9,0.044,-3.6,-0.5,-4.2,-0.5
agbajoc01TOR2026,Ochai Agbaji,TOR2026,2026,NBA,Ochai Agbaji,25,TOR,SG,42,13,650,7.5,0.495,0.382,0.171,0.057,0.109,0.083,0.06,0.013,0.016,0.094,0.133,0,0.7,0.6,0.046,-4.8,0,-4.8,-0.5
agbajoc01BRK2026,Ochai Agbaji,BRK2026,2026,NBA,Ochai Agbaji,25,BRK,SG,19,0,305,11.1,0.575,0.596,0.141,0.043,0.121,0.08,0.078,0.01,0.018,0.102,0.167,0.1,0.1,0.2,0.039,-1.2,-1.6,-2.8,-0.1
aldamsa01MEM2026,Santi Aldama,MEM2026,2026,NBA,Santi Aldama,25,MEM,PF,43,11,1198,16.4,0.572,0.42,0.239,0.06,0.201,0.13,0.157,0.015,0.024,0.095,0.202,1.3,1.1,2.4,0.098,1.3,0.4,1.7,1.1
alexani01ATL2026,Nickeil Alexander-Walker,ATL2026,2026,NBA,Nickeil Alexander-Walker,27,ATL,SG,73,66,2425,16.2,0.601,0.524,0.263,0.022,0.092,0.057,0.164,0.019,0.014,0.107,0.239,3.1,2.4,5.5,0.11,1.3,-0.5,0.7,1.7
alexatr01NOP2026,Trey Alexander,NOP2026,2026,NBA,Trey Alexander,22,NOP,SG,5,0,42,13.6,0.778,0.333,0,0,0.104,0.051,0.164,0.011,0.023,0.1,0.1,0.1,0,0.1,0.131,0.5,0.2,0.6,0
allengr01PHO2026,Grayson Allen,PHO2026,2026,NBA,Grayson Allen,30,PHO,SG,47,26,1388,16.3,0.568,0.683,0.233,0.024,0.09,0.056,0.205,0.023,0.008,0.097,0.24,2.3,1.5,3.7,0.128,2.1,0.1,2.2,1.5
allenja01CLE2026,Jarrett Allen,CLE2026,2026,NBA,Jarrett Allen,27,CLE,C,53,53,1441,22.2,0.674,0.02,0.464,0.104,0.236,0.17,0.102,0.017,0.029,0.104,0.197,4.1,2,6.2,0.206,2.3,0.5,2.8,1.7
alvarjo012TM2026,Jose Alvarado,2TM2026,2026,NBA,Jose Alvarado,27,2TM,PG,65,1,1274,11.8,0.542,0.65,0.092,0.019,0.115,0.067,0.23,0.022,0.005,0.142,0.165,0.9,1,1.9,0.072,-1.5,0.1,-1.4,0.2
