all_star_id,player_id,player,team,season,lg,replaced,all_star
Scottie Barnes2026,barnesc01,Scottie Barnes,Team Stars,2026,NBA,FALSE,Yes
Devin Booker2026,bookede01,Devin Booker,Team Stars,2026,NBA,FALSE,Yes
Cade Cunningham2026,cunnica01,Cade Cunningham,Team Stars,2026,NBA,FALSE,Yes
Jalen Duren2026,durenja01,Jalen Duren,Team Stars,2026,NBA,FALSE,Yes
Anthony Edwards2026,edwaran01,Anthony Edwards,Team Stars,2026,NBA,FALSE,Yes
Chet Holmgren2026,holmgch01,Chet Holmgren,Team Stars,2026,NBA,FALSE,Yes
Jalen Johnson2026,johnsja05,Jalen Johnson,Team Stars,2026,NBA,FALSE,Yes
Tyrese Maxey2026,maxeyty01,Tyrese Maxey,Team Stars,2026,NBA,FALSE,Yes
Jaylen Brown2026,brownja02,Jaylen Brown,Team Stripes,2026,NBA,FALSE,Yes
Jalen Brunson2026,brunsja01,Jalen Brunson,Team Stripes,2026,NBA,FALSE,Yes
Stephen Curry2026,curryst01,Stephen Curry,Team Stripes,2026,NBA,TRUE,Yes
Kevin Durant2026,duranke01,Kevin Durant,Team Stripes,2026,NBA,FALSE,Yes
De'Aaron Fox2026,foxde01,De'Aaron Fox,Team Stripes,2026,NBA,FALSE,Yes
Brandon Ingram2026,ingrabr01,Brandon Ingram,Team Stripes,2026,NBA,FALSE,Yes
LeBron James2026,jamesle01,LeBron James,Team Stripes,2026,NBA,FALSE,Yes
Kawhi Leord2026,leoka01,Kawhi Leord,Team Stripes,2026,NBA,FALSE,Yes
Donovan Mitchell2026,mitchdo01,Donovan Mitchell,Team Stripes,2026,NBA,FALSE,Yes
Giannis Antetokounmpo2026,antetgi01,Giannis Antetokounmpo,Team World,2026,NBA,TRUE,Yes
Deni Avdija2026,avdijde01,Deni Avdija,Team World,2026,NBA,FALSE,Yes
Luka Dončić2026,doncilu01,Luka Dončić,Team World,2026,NBA,FALSE,Yes
Shai Gilgeous-Alexander2026,gilgesh01,Shai Gilgeous-Alexander,Team World,2026,NBA,TRUE,Yes
Nikola Jokić2026,jokicni01,Nikola Jokić,Team World,2026,NBA,FALSE,Yes
Jamal Murray2026,murraja01,Jamal Murray,Team World,2026,NBA,FALSE,Yes
Norman Powell2026,powelno01,Norman Powell,Team World,2026,NBA,FALSE,Yes
Alperen Şengün2026,sengual01,Alperen Şengün,Team World,2026,NBA,FALSE,Yes
Pascal Siakam2026,siakapa01,Pascal Siakam,Team World,2026,NBA,FALSE,Yes
Karl-Anthony Towns2026,townska01,Karl-Anthony Towns,Team World,2026,NBA,FALSE,Yes
Victor Wembanyama2026,wembavi01,Victor Wembanyama,Team World,2026,NBA,FALSE,Yes
Giannis Antetokounmpo2025,antetgi01,Giannis Antetokounmpo,Team Chuck,2025,NBA,TRUE,Yes
Shai Gilgeous-Alexander2025,gilgesh01,Shai Gilgeous-Alexander,Team Chuck,2025,NBA,FALSE,Yes
Nikola Jokić2025,jokicni01,Nikola Jokić,Team Chuck,2025,NBA,FALSE,Yes
Donovan Mitchell2025,mitchdo01,Donovan Mitchell,Team Chuck,2025,NBA,FALSE,Yes
Alperen Şengün2025,sengual01,Alperen Şengün,Team Chuck,2025,NBA,FALSE,Yes
Pascal Siakam2025,siakapa01,Pascal Siakam,Team Chuck,2025,NBA,FALSE,Yes
Karl-Anthony Towns2025,townska01,Karl-Anthony Towns,Team Chuck,2025,NBA,FALSE,Yes
Victor Wembanyama2025,wembavi01,Victor Wembanyama,Team Chuck,2025,NBA,FALSE,Yes
Trae Young2025,youngtr01,Trae Young,Team Chuck,2025,NBA,FALSE,Yes
Jalen Brunson2025,brunsja01,Jalen Brunson,Team Kenny,2025,NBA,FALSE,Yes
Cade Cunningham2025,cunnica01,Cade Cunningham,Team Kenny,2025,NBA,FALSE,Yes
Anthony Edwards2025,edwaran01,Anthony Edwards,Team Kenny,2025,NBA,TRUE,Yes
Darius Garland2025,garlada01,Darius Garland,Team Kenny,2025,NBA,FALSE,Yes
Tyler Herro2025,herroty01,Tyler Herro,Team Kenny,2025,NBA,FALSE,Yes
Jaren Jackson Jr.2025,jacksja02,Jaren Jackson Jr.,Team Kenny,2025,NBA,FALSE,Yes
Evan Mobley2025,mobleev01,Evan Mobley,Team Kenny,2025,NBA,FALSE,Yes
Jalen Williams2025,willija06,Jalen Williams,Team Kenny,2025,NBA,FALSE,Yes
Jaylen Brown2025,brownja02,Jaylen Brown,Team Shaq,2025,NBA,FALSE,Yes
Stephen Curry2025,curryst01,Stephen Curry,Team Shaq,2025,NBA,FALSE,Yes
Anthony Davis2025,davisan02,Anthony Davis,Team Shaq,2025,NBA,TRUE,Yes
Kevin Durant2025,duranke01,Kevin Durant,Team Shaq,2025,NBA,FALSE,Yes
James Harden2025,hardeja01,James Harden,Team Shaq,2025,NBA,FALSE,Yes
Kyrie Irving2025,irvinky01,Kyrie Irving,Team Shaq,2025,NBA,FALSE,Yes
LeBron James2025,jamesle01,LeBron James,Team Shaq,2025,NBA,TRUE,Yes
Damian Lillard2025,lillada01,Damian Lillard,Team Shaq,2025,NBA,FALSE,Yes
Jayson Tatum2025,tatumja01,Jayson Tatum,Team Shaq,2025,NBA,FALSE,Yes
Bam Adebayo2024,adebaba01,Bam Adebayo,East,2024,NBA,FALSE,Yes
Giannis Antetokounmpo2024,antetgi01,Giannis Antetokounmpo,East,2024,NBA,FALSE,Yes
Paolo Banchero2024,banchpa01,Paolo Banchero,East,2024,NBA,FALSE,Yes
Scottie Barnes2024,barnesc01,Scottie Barnes,East,2024,NBA,FALSE,Yes
Jaylen Brown2024,brownja02,Jaylen Brown,East,2024,NBA,FALSE,Yes
Jalen Brunson2024,brunsja01,Jalen Brunson,East,2024,NBA,FALSE,Yes
Joel Embiid2024,embiijo01,Joel Embiid,East,2024,NBA,TRUE,Yes
Tyrese Haliburton2024,halibty01,Tyrese Haliburton,East,2024,NBA,FALSE,Yes
Damian Lillard2024,lillada01,Damian Lillard,East,2024,NBA,FALSE,Yes
Tyrese Maxey2024,maxeyty01,Tyrese Maxey,East,2024,NBA,FALSE,Yes
Donovan Mitchell2024,mitchdo01,Donovan Mitchell,East,2024,NBA,FALSE,Yes
Julius Randle2024,randlju01,Julius Randle,East,2024,NBA,TRUE,Yes
Jayson Tatum2024,tatumja01,Jayson Tatum,East,2024,NBA,FALSE,Yes
Trae Young2024,youngtr01,Trae Young,East,2024,NBA,FALSE,Yes
Devin Booker2024,bookede01,Devin Booker,West,2024,NBA,FALSE,Yes
Stephen Curry2024,curryst01,Stephen Curry,West,2024,NBA,FALSE,Yes
Anthony Davis2024,davisan02,Anthony Davis,West,2024,NBA,FALSE,Yes
Luka Dončić2024,doncilu01,Luka Dončić,West,2024,NBA,FALSE,Yes
Kevin Durant2024,duranke01,Kevin Durant,West,2024,NBA,FALSE,Yes
Anthony Edwards2024,edwaran01,Anthony Edwards,West,2024,NBA,FALSE,Yes
