player_id,team_id,season,league,player,age,team,position,games,games_started,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,effective_fg_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss,offensive_rtg,defensive_rtg
achiupr01SAC2026,SAC2026,2026,NBA,Precious Achiuwa,26,SAC,C,67,51,1568,8.5,16,0.534,0.8,2.6,0.31,7.7,13.4,0.577,0.559,1.9,3.5,0.558,4.7,8.8,13.5,2.7,1.9,1.4,1.7,3.5,19.8,118,119
adamsst01HOU2026,HOU2026,2026,NBA,Steven Adams,32,HOU,C,32,11,730,4.8,9.5,0.504,0,0,,4.8,9.5,0.504,0.504,3.2,5.6,0.58,9.9,9,18.9,3.3,1.5,1.4,2.4,3.8,12.8,125,112
adebaba01MIA2026,MIA2026,2026,NBA,Bam Adebayo,28,MIA,C,67,67,2161,10,22.7,0.438,2.4,7.8,0.31,7.5,14.9,0.506,0.492,6.6,8.4,0.782,3,11.5,14.4,4.3,1.7,1,2.4,2.5,28.9,114,111
agbajoc012TM2026,2TM2026,2026,NBA,Ochai Agbaji,25,2TM,SG,61,13,955,6,13.8,0.435,1.6,6.4,0.258,4.4,7.4,0.586,0.494,1.8,2.2,0.837,2.3,4.7,7,2.3,1.2,0.9,1.6,4.7,15.5,108,117
agbajoc01TOR2026,TOR2026,2026,NBA,Ochai Agbaji,25,TOR,SG,42,13,650,5.4,12.7,0.424,0.9,4.9,0.185,4.5,7.9,0.571,0.459,1.9,2.2,0.862,2.5,4.6,7.1,2.2,1.3,0.8,1.4,5.6,13.6,106,116
agbajoc01BRK2026,BRK2026,2026,NBA,Ochai Agbaji,25,BRK,SG,19,0,305,7.3,16.1,0.455,3.2,9.6,0.339,4.1,6.5,0.625,0.556,1.8,2.3,0.786,1.9,4.9,6.8,2.4,1,1,1.9,2.8,19.7,111,121
aldamsa01MEM2026,MEM2026,2026,NBA,Santi Aldama,25,MEM,PF,43,11,1198,9,18.8,0.479,2.8,7.9,0.35,6.3,10.9,0.572,0.553,3,4.5,0.667,2.7,8.7,11.4,5,1.5,1.2,2.2,2.7,23.8,116,117
alexani01ATL2026,ATL2026,2026,NBA,Nickeil Alexander-Walker,27,ATL,SG,73,66,2425,9.7,21.7,0.45,4.4,11.4,0.391,5.3,10.3,0.514,0.552,5.1,5.7,0.901,1,4,4.9,5.4,1.9,0.7,2.9,3.1,29.1,116,116
alexatr01NOP2026,NOP2026,2026,NBA,Trey Alexander,22,NOP,SG,5,0,42,6.9,10.3,0.667,2.3,3.4,0.667,4.6,6.9,0.667,0.778,0,0,,0,4.6,4.6,5.7,1.1,1.1,1.1,4.6,16,148,121
allengr01PHO2026,PHO2026,2026,NBA,Grayson Allen,30,PHO,SG,47,26,1388,9.3,22.9,0.405,5.5,15.7,0.352,3.8,7.3,0.52,0.526,4.6,5.3,0.86,1.1,3.9,5,6.7,2.3,0.4,2.7,3.7,28.7,119,115
allenja01CLE2026,CLE2026,2026,NBA,Jarrett Allen,27,CLE,C,53,53,1441,10.8,16.7,0.643,0,0.3,0.1,10.7,16.4,0.654,0.644,5.6,7.8,0.721,4.6,10.3,14.9,3.3,1.7,1.5,2.3,3.2,27.2,133,112
alvarjo012TM2026,2TM2026,2026,NBA,Jose Alvarado,27,2TM,PG,65,1,1274,6.5,15.7,0.413,3.6,10.2,0.354,2.9,5.5,0.521,0.528,1.1,1.4,0.789,0.9,5.1,5.9,8.2,2.2,0.2,2.7,4.6,17.7,114,118
alvarjo01NOP2026,NOP2026,2026,NBA,Jose Alvarado,27,NOP,PG,41,0,896,6.3,15,0.418,3.8,10.3,0.363,2.5,4.7,0.54,0.543,1.1,1.3,0.833,0.9,5.3,6.1,6.9,2,0.2,2.5,4.3,17.4,113,120
alvarjo01NYK2026,NYK2026,2026,NBA,Jose Alvarado,27,NYK,PG,24,1,378,6.9,17.3,0.402,3.3,9.8,0.333,3.7,7.5,0.491,0.496,1.3,1.8,0.714,0.9,4.6,5.5,11.6,2.9,0.3,3.1,5.2,18.4,115,113
anderky013TM2026,3TM2026,2026,NBA,Kyle Anderson,32,3TM,SF,37,3,723,5.8,11.1,0.527,0.3,0.6,0.444,5.6,10.5,0.531,0.538,2.8,4,0.705,2.2,6,8.2,6.6,2.4,1.3,2.4,5.6,14.7,118,117
anderky01UTA2026,UTA2026,2026,NBA,Kyle Anderson,32,UTA,SF,20,0,401,6.7,12.8,0.523,0.4,0.6,0.6,6.4,12.2,0.519,0.537,2.9,4.5,0.658,2.2,5.5,7.8,7.2,2.7,1.2,2,5.4,16.7,121,120
anderky01MEM2026,MEM2026,2026,NBA,Kyle Anderson,32,MEM,SF,4,3,89,8,10.1,0.789,0.5,0.5,1,7.5,9.6,0.778,0.816,3.2,4.3,0.75,1.6,5.9,7.5,1.6,3.2,2.1,3.7,6.4,19.7,120,113
anderky01MIN2026,MIN2026,2026,NBA,Kyle Anderson,32,MIN,SF,13,0,233,3.5,8.4,0.415,0,0.6,0,3.5,7.8,0.447,0.415,2.5,3.1,0.8,2.3,7,9.2,7.6,1.6,1.2,2.5,5.5,9.4,112,113
antetal01MIL2026,MIL2026,2026,NBA,Alex Antetokounmpo,24,MIL,SF,1,0,3,0,16.4,0,0,16.4,0,0,0,,0,49.1,65.4,0.75,0,0,0,0,0,0,0,0,49.1,123,128
antetgi01MIL2026,MIL2026,2026,NBA,Giannis Antetokounmpo,31,MIL,PF,36,36,1039,17.6,28.2,0.624,0.7,2.1,0.333,16.9,26.1,0.647,0.636,11,16.9,0.65,4.6,12,16.6,9.3,1.6,1.1,5.4,4.1,46.9,125,115
antetth01MIL2026,MIL2026,2026,NBA,Thanasis Antetokounmpo,33,MIL,SF,30,0,110,4.9,10.3,0.478,0,0.9,0,4.9,9.4,0.524,0.478,6.7,10.7,0.625,4.5,7.6,12,4,4.5,2.2,3.6,5.8,16.5,110,110
anthoco01MIL2026,MIL2026,2026,NBA,Cole Anthony,25,MIL,PG,35,0,527,9.1,21.5,0.424,2,6.7,0.306,7.1,14.8,0.478,0.472,1.5,2.4,0.615,1.5,6.6,8.1,11.3,1.9,1,6.1,6.8,21.8,96,118
anunoog01NYK2026,NYK2026,2026,NBA,OG Anunoby,28,NYK,PF,62,62,2065,8.6,17.8,0.484,3.3,8.8,0.377,5.3,9,0.589,0.577,4,4.9,0.818,1.9,5.6,7.6,3.2,2.4,1,2.8,3.7,24.5,118,112
avdijde01POR2026,POR2026,2026,NBA,Deni Avdija,25,POR,SF,61,61,2017,10.5,22.9,0.46,2.7,8.5,0.318,7.8,14.4,0.544,0.519,10.6,13.3,0.799,1.7,8.4,10.1,9.6,1.1,0.9,5.5,3.6,34.4,118,115
aytonde01LAL2026,LAL2026,2026,NBA,Deandre Ayton,27,LAL,C,66,66,1810,10,14.8,0.675,0,0,,10,14.8,0.675,0.675,2.2,3.4,0.63,4.7,10,14.7,1.5,1.1,1.7,2.2,4,22.1,129,115
baglema012TM2026,2TM2026,2026,NBA,Marvin Bagley III,26,2TM,PF,56,10,1119,9.9,16,0.616,0.8,1.8,0.452,9.1,14.2,0.637,0.642,3.8,5.8,0.652,5.9,8.6,14.6,3.4,1.1,1.7,2.5,5,24.3,129,119
baglema01WAS2026,WAS2026,2026,NBA,Marvin Bagley III,26,WAS,PF,38,8,731,10,16,0.626,0.5,1.2,0.421,9.5,14.7,0.643,0.642,4.5,6.3,0.711,6.3,7.7,14,3.6,1.3,1.8,2.9,5.1,25,130,121
