team_id,season,league,team,abbreviation,playoffs,games,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss
ATL2026,2026,NBA,Atlanta Hawks,ATL,FALSE,76,18315,42.6,90,0.473,14.3,38.7,0.369,28.3,51.4,0.552,16.4,21.1,0.776,10.6,31.9,42.5,29.7,9.2,4.6,13.9,19.2,115.8
BOS2026,2026,NBA,Boston Celtics,BOS,FALSE,75,18050,44,95.1,0.463,16,44.3,0.362,28,50.8,0.551,16,19.9,0.805,13.3,35.6,48.9,25.6,7.5,5.4,12.9,20.2,120
BRK2026,2026,NBA,Brooklyn Nets,BRK,FALSE,76,18315,38.5,86.9,0.443,13.6,39.8,0.341,24.9,47.1,0.529,18.5,23.7,0.778,10.8,29.8,40.7,25.8,8.2,4.4,16.4,21.8,109
CHI2026,2026,NBA,Chicago Bulls,CHI,FALSE,75,18075,41.2,87.9,0.469,14.2,39.2,0.361,27.1,48.6,0.556,16.7,21.5,0.779,10,33.9,43.9,27.9,7.3,5,14.8,18.4,113.3
CHO2026,2026,NBA,Charlotte Hornets,CHO,FALSE,76,18315,42,91.2,0.46,16.7,44,0.379,25.3,47.2,0.536,18.6,22.7,0.817,13.1,34.3,47.4,27.1,7.2,4.6,15.9,19.7,119.2
CLE2026,2026,NBA,Cleveland Cavaliers,CLE,FALSE,76,18315,43.2,89.9,0.48,14.3,39.9,0.359,28.8,50,0.576,18.4,23.7,0.776,11.7,32.4,44.1,28.2,8.5,5,13.9,19.8,119
DAL2026,2026,NBA,Dallas Mavericks,DAL,FALSE,76,18415,40.7,87.1,0.467,10.5,30.6,0.342,30.2,56.6,0.534,18.7,25,0.747,10.1,33.5,43.6,24.5,7.3,5,14.5,17.8,110.5
DEN2026,2026,NBA,Denver Nuggets,DEN,FALSE,76,18440,43.4,87.7,0.495,14.1,35.8,0.395,29.2,51.9,0.563,21.2,26.3,0.806,9.6,34.1,43.8,28.9,6.8,3.9,13,19.3,122
DET2026,2026,NBA,Detroit Pistons,DET,TRUE,76,18365,43.3,89.7,0.483,11,31.1,0.353,32.3,58.6,0.551,20,26.2,0.761,13.1,32.5,45.6,27.4,10.4,6.3,15.1,22.2,117.5
GSW2026,2026,NBA,Golden State Warriors,GSW,FALSE,75,18125,41.1,89.2,0.461,15.9,44.7,0.356,25.1,44.4,0.565,16.9,21,0.801,11.4,31.2,42.6,29,9.9,4.3,15.8,19.7,114.9
