team_id,season,league,team,abbreviation,playoffs,games,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_3p_per_100poss,opp_3pa_rt_per_100poss,opp_3p_percent,opp_2p_per_100poss,opp_2pa_per_100poss,opp_2p_percent,opp_ft_per_100poss,opp_fta_per_100poss,opp_ft_percent,opp_orb_per_100poss,opp_drb_per_100poss,opp_trb_per_100poss,opp_ast_per_100poss,opp_stl_per_100poss,opp_blk_per_100poss,opp_tov_per_100poss,opp_pf_per_100poss,opp_pts_per_100poss,total_fg,total_fga,total_3pm,total_3pa,total_3p_scored,three_percent,total_2pm,total_2pa,total_2p_scored,fg_percent_2p,total_ftm,total_fta,total_orb,total_drb,total_trb,total_ast,total_stl,total_blk,total_tov,total_pf,total_pts,win,loss,p_wins,p_losses,margin_of_victory,sos,srs,o_rtg,d_rtg,n_rtg,pace,ft_rate,three_p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga
ATL2026,2026,NBA,Atlanta Hawks,ATL,FALSE,76,18315,42.6,90,0.473,14.3,38.7,0.369,28.3,51.4,0.552,16.4,21.1,0.776,10.6,31.9,42.5,29.7,9.2,4.6,13.9,19.2,115.8,41.5,87.8,0.473,12.8,35.9,0.357,28.7,51.9,0.553,18.1,22.8,0.793,11.1,33.6,44.6,26.1,8.3,4.8,15.8,18.2,113.9,3303,6980,1105,2997,3315,0.369,2198,3983,4396,0.552,1270,1636,825,2470,3295,2304,712,353,1074,1487,8981,43,33,42,34,1.95,-0.14,1.81,115.8,113.9,1.9,101.6,0.234,,0.583,0.552,12.2,24.1,0.182,0.546,13.9,74.2,0.206
BOS2026,2026,NBA,Boston Celtics,BOS,FALSE,75,18050,44,95.1,0.463,16,44.3,0.362,28,50.8,0.551,16,19.9,0.805,13.3,35.6,48.9,25.6,7.5,5.4,12.9,20.2,120,40.2,91.3,0.441,14.7,41.2,0.356,25.6,50,0.511,17.4,22.4,0.777,11.5,32.3,43.8,26,6.5,4.4,13,19.4,112.6,3134,6771,1141,3153,3423,0.362,1993,3618,3986,0.551,1138,1414,949,2536,3485,1825,534,381,922,1435,8547,50,25,53,22,7.08,-0.44,6.64,120,112.6,7.4,94.7,0.209,,0.578,0.547,11.1,29.2,0.168,0.521,11.4,75.6,0.191
BRK2026,2026,NBA,Brooklyn Nets,BRK,FALSE,76,18315,38.5,86.9,0.443,13.6,39.8,0.341,24.9,47.1,0.529,18.5,23.7,0.778,10.8,29.8,40.7,25.8,8.2,4.4,16.4,21.8,109,43,87.1,0.494,12.7,33.6,0.378,30.3,53.5,0.566,20,25.6,0.779,10.6,34,44.5,27.8,9.5,5.4,14.8,20.1,118.7,2846,6425,1002,2941,3006,0.341,1844,3484,3688,0.529,1365,1755,802,2205,3007,1910,603,326,1210,1614,8059,18,58,18,58,-9.42,0.59,-8.83,109,118.7,-9.7,96.9,0.273,,0.56,0.521,14.4,24.2,0.212,0.567,13.1,73.8,0.229
CHI2026,2026,NBA,Chicago Bulls,CHI,FALSE,75,18075,41.2,87.9,0.469,14.2,39.2,0.361,27.1,48.6,0.556,16.7,21.5,0.779,10,33.9,43.9,27.9,7.3,5,14.8,18.4,113.3,43.5,91.3,0.476,13.6,37,0.368,29.9,54.2,0.551,17.3,22.4,0.773,10.9,33.4,44.3,27.8,8.7,5.4,12.3,18.1,117.9,3174,6768,1091,3022,3273,0.361,2083,3746,4166,0.556,1287,1652,767,2612,3379,2147,559,383,1140,1418,8726,29,46,27,48,-4.73,0.44,-4.29,113.3,117.9,-4.6,102.2,0.244,,0.582,0.55,13.2,23,0.19,0.551,10.9,75.8,0.19
CHO2026,2026,NBA,Charlotte Hornets,CHO,FALSE,76,18315,42,91.2,0.46,16.7,44,0.379,25.3,47.2,0.536,18.6,22.7,0.817,13.1,34.3,47.4,27.1,7.2,4.6,15.9,19.7,119.2,42.1,90.2,0.467,13.1,36.5,0.358,29,53.7,0.541,17.2,21.4,0.804,10.3,29.9,40.2,26.7,8.5,4.6,13,20.4,114.4,3107,6750,1234,3258,3702,0.379,1873,3492,3746,0.536,1375,1682,969,2541,3510,2004,532,338,1179,1461,8823,40,36,49,27,4.68,-0.61,4.07,119.2,114.4,4.8,97,0.249,,0.589,0.552,13.6,30.5,0.204,0.539,11.5,77,0.191
CLE2026,2026,NBA,Cleveland Cavaliers,CLE,FALSE,76,18315,43.2,89.9,0.48,14.3,39.9,0.359,28.8,50,0.576,18.4,23.7,0.776,11.7,32.4,44.1,28.2,8.5,5,13.9,19.8,119,41.1,88.5,0.464,13.9,37.5,0.37,27.2,51,0.534,18.8,23.7,0.795,11.3,32,43.3,26.8,8.6,4.4,15.2,20.4,115,3289,6855,1092,3043,3276,0.359,2197,3812,4394,0.576,1400,1803,893,2470,3363,2153,648,381,1059,1508,9070,47,29,47,29,4.05,-0.14,3.91,119,115,4,99.9,0.263,,0.593,0.559,12.2,26.8,0.204,0.543,13.3,74.2,0.213
DAL2026,2026,NBA,Dallas Mavericks,DAL,FALSE,76,18415,40.7,87.1,0.467,10.5,30.6,0.342,30.2,56.6,0.534,18.7,25,0.747,10.1,33.5,43.6,24.5,7.3,5,14.5,17.8,110.5,43.6,91.5,0.476,12.5,35.9,0.349,31,55.6,0.558,16.4,21.4,0.767,11.7,33.8,45.5,27.6,8.7,5.2,13.1,20.6,116,3173,6796,815,2383,2445,0.342,2358,4413,4716,0.534,1457,1950,789,2609,3398,1914,569,390,1127,1385,8618,24,52,26,50,-5.67,0.13,-5.54,110.5,116,-5.5,101.6,0.287,,0.563,0.527,12.8,23,0.214,0.544,11.5,74.1,0.179
DEN2026,2026,NBA,Denver Nuggets,DEN,FALSE,76,18440,43.4,87.7,0.495,14.1,35.8,0.395,29.2,51.9,0.563,21.2,26.3,0.806,9.6,34.1,43.8,28.9,6.8,3.9,13,19.3,122,42.9,91.4,0.469,13.5,38.8,0.347,29.4,52.6,0.559,18,23.4,0.771,11.2,31.8,43,27.6,8,4.7,11.9,21.7,117.3,3275,6620,1068,2702,3204,0.395,2207,3918,4414,0.563,1598,1983,726,2579,3305,2185,516,293,984,1457,9216,48,28,48,28,4.67,-0.32,4.35,122,117.3,4.7,98.3,0.3,,0.615,0.575,11.6,23.2,0.241,0.543,10.5,75.3,0.197
DET2026,2026,NBA,Detroit Pistons,DET,TRUE,76,18365,43.3,89.7,0.483,11,31.1,0.353,32.3,58.6,0.551,20,26.2,0.761,13.1,32.5,45.6,27.4,10.4,6.3,15.1,22.2,117.5,37.8,85.2,0.443,12.6,36.4,0.345,25.2,48.8,0.516,21.5,27.3,0.789,11.4,29.5,40.9,23.5,8.7,5.8,17,21.5,109.6,3291,6820,833,2363,2499,0.353,2458,4457,4916,0.551,1518,1994,997,2468,3465,2085,793,481,1148,1687,8933,55,21,55,21,7.91,-0.6,7.31,117.5,109.6,7.9,99.3,0.292,,0.58,0.544,13,30.8,0.223,0.517,14.9,74,0.252
GSW2026,2026,NBA,Golden State Warriors,GSW,FALSE,75,18125,41.1,89.2,0.461,15.9,44.7,0.356,25.1,44.4,0.565,16.9,21,0.801,11.4,31.2,42.6,29,9.9,4.3,15.8,19.7,114.9,42.3,88.5,0.478,12.8,35.8,0.357,29.5,52.7,0.56,17.6,21.8,0.806,11.5,32.8,44.4,26.9,8.9,4.1,16,18.6,114.9,3079,6686,1195,3354,3585,0.356,1884,3332,3768,0.565,1264,1578,857,2339,3196,2176,739,321,1185,1479,8617,36,39,37,38,-0.03,0.23,0.2,114.9,114.9,0,99.3,0.236,,0.584,0.55,13.8,25.8,0.189,0.55,14,73,0.199
